# SECTION,summary
session_id,mode,scenario,poc,total_steps,total_nodes,total_edges,reification_count,avg_abs_v_deviation,dvr_enabled,invert_food,regulating_always,v_low,v_high,v_star,v_init,decay_alpha,beta,bucket_edges_lo,bucket_edges_hi,stick_deadzone
20260605_173452,DVRoff,S1norm,always,61130,19,27,1,0.0,0,0,1,0.4,0.8,0.8,0.8,0.00022,0.001,0.05,0.15,0.3

# SECTION,action_log
seg_idx,action,duration_s,mean_tension,std_tension,mean_dv,mean_stick,max_stick
118,FORWARD,0.43,0.001352,4e-06,-0.0,0.3498,0.3832
119,STOP,0.53,0.001351,8e-06,-1e-06,0.0,0.0
120,FORWARD,3.25,0.001347,1.4e-05,-0.0,0.6607,0.911
121,STOP,2.19,0.001349,1.7e-05,0.0,0.0,0.0
122,FORWARD,0.04,0.001349,0.0,-3e-06,0.4722,0.4722
123,STOP,1.91,0.001351,1e-05,0.0,0.0,0.0
124,LEFT,0.03,0.001336,0.0,1e-06,0.4302,0.4302
125,STOP,8.7,0.001342,1.4e-05,-0.0,0.0,0.0
126,RIGHT,0.88,0.001338,8e-06,-0.0,0.4383,0.492
127,STOP,7.26,0.00148,0.000458,-0.0,0.0,0.0
128,FORWARD,0.35,0.001366,1.2e-05,3e-06,0.7886,0.9091
129,STOP,1.29,0.001375,1.2e-05,-0.0,0.0,0.0
130,RIGHT,0.15,0.001371,7e-06,3e-06,0.8151,0.9511
131,FORWARD,0.23,0.001361,6e-06,0.0,0.8527,0.9475
132,STOP,0.23,0.001363,5e-06,-1e-06,0.0,0.0
133,RIGHT,0.12,0.001364,1e-06,1e-06,0.8265,1.0
134,FORWARD,0.22,0.001369,9e-06,-4e-06,0.9201,1.0
135,LEFT,0.2,0.001375,4e-06,2e-06,0.9983,1.0
136,BACK,0.16,0.001369,3e-06,2e-06,0.8181,0.8839
137,RIGHT,0.17,0.001367,8e-06,-1e-06,0.9643,1.0
138,FORWARD,0.16,0.001387,4e-06,-2e-06,0.9778,1.0
139,LEFT,0.17,0.001372,3e-06,3e-06,0.947,1.0
140,BACK,0.18,0.001356,4e-06,4e-06,0.9452,0.9523
